id;point;address
98601;22266;ang mo kio industrial park 2 38
98602;22266;ang mo kio industrial park 2 4
98603;22266;ang mo kio industrial park 2 4014
98604;22266;ang mo kio industrial park 2 5
98605;22266;ang mo kio industrial park 2 5022
98606;22266;ang mo kio industrial park 2 5024
98607;22266;ang mo kio industrial park 2 5025
98608;22266;ang mo kio industrial park 2 5026
98609;22266;ang mo kio industrial park 2 5030
98610;22266;ang mo kio industrial park 2 5032
98611;22266;ang mo kio industrial park 2 5033
98612;22266;ang mo kio industrial park 2 5034
98613;22266;ang mo kio industrial park 2 5036
98614;22266;ang mo kio industrial park 2 5039
98615;22266;ang mo kio industrial park 2 5040
98616;22266;ang mo kio industrial park 2 5041
98617;22266;ang mo kio industrial park 2 5043
98618;22266;ang mo kio industrial park 2 5044
98619;22266;ang mo kio industrial park 2 5046
98620;22266;ang mo kio industrial park 2 5049
98621;22266;ang mo kio industrial park 2 505
98622;22266;ang mo kio industrial park 2 5050
98623;22266;ang mo kio industrial park 2 5054
98624;22266;ang mo kio industrial park 2 5056
98625;22266;ang mo kio industrial park 2 5059
98626;22266;ang mo kio industrial park 2 5063
98627;22266;ang mo kio industrial park 2 5066
98628;22266;ang mo kio industrial park 2 5068
98629;22266;ang mo kio industrial park 2 5072
98630;22266;ang mo kio industrial park 2 5074
98631;22266;ang mo kio industrial park 2 5075
98632;22266;ang mo kio industrial park 2 5076
98633;22266;ang mo kio industrial park 2 5077
98634;22266;ang mo kio industrial park 2 5078
98635;22266;ang mo kio industrial park 2 5079
98636;22266;ang mo kio industrial park 2 507d
98637;22266;ang mo kio industrial park 2 5080
98638;22266;ang mo kio industrial park 2 5081
98639;22266;ang mo kio industrial park 2 5082
98640;22266;ang mo kio industrial park 2 5083
98641;22266;ang mo kio industrial park 2 5084
98642;22266;ang mo kio industrial park 2 5085
98643;22266;ang mo kio industrial park 2 5086
98644;22447;ang mo kio industrial park 2 5087
98645;22266;ang mo kio industrial park 2 5088
98646;22266;ang mo kio industrial park 2 5089
98647;22266;ang mo kio industrial park 2 5090
98648;22266;ang mo kio industrial park 2 5091
98649;22266;ang mo kio industrial park 2 5092
98650;22266;ang mo kio industrial park 2 5093
98651;22266;ang mo kio industrial park 2 5094
98652;22266;ang mo kio industrial park 2 5095
98653;22266;ang mo kio industrial park 2 6
98654;22266;ang mo kio industrial park 2 6005
98655;22266;ang mo kio industrial park 2 6007
98656;22266;ang mo kio industrial park 2 6019
98657;22266;ang mo kio industrial park 2 6022
98658;22266;ang mo kio industrial park 2 blk 5033
98659;22266;ang mo kio industrial park 2 blk 5077
98660;22266;ang mo kio industrial park 2 blk 5083
98661;22266;ang mo kio industrial park 2 no.32
98662;22266;ang mo kio industrial park 2a 1
98663;22266;ang mo kio industrial park 2a 10
98664;22266;ang mo kio industrial park 2a 106
98665;22266;ang mo kio industrial park 2a 14
98666;22266;ang mo kio industrial park 2a 20
98667;22266;ang mo kio industrial park 2a 3
98668;22266;ang mo kio industrial park 2a 5
98669;22266;ang mo kio industrial park 2a 805
98670;22266;ang mo kio industrial park 2a blk 1
98671;22266;ang mo kio industrial park 2a block 1
98672;22266;ang mo kio industrial park 2a no.10
98673;22266;ang mo kio industrial park 3 10
98674;22266;ang mo kio industrial park 3 12
98675;22266;ang mo kio industrial park 3 32
98676;22266;ang mo kio industrial park 3 5034
98677;22266;ang mo kio industrial park 3 5052
98678;22266;ang mo kio industrial park 3 6001
98679;22266;ang mo kio industrial park 3 6002
98680;22266;ang mo kio industrial park 3 6003
98681;22266;ang mo kio industrial park 3 6004
98682;22266;ang mo kio industrial park 3 6005
98683;22266;ang mo kio industrial park 3 6006
98684;22266;ang mo kio industrial park 3 6007
98685;22266;ang mo kio industrial park 3 6008
98686;22266;ang mo kio industrial park 3 6009
98687;22266;ang mo kio industrial park 3 6010
98688;22266;ang mo kio industrial park 3 6011
98689;22447;ang mo kio industrial park 3 6012
98690;22266;ang mo kio industrial park 3 6013
98691;22266;ang mo kio industrial park 3 6014
98692;22266;ang mo kio industrial park 3 6015
98693;22266;ang mo kio industrial park 3 6016
98694;22266;ang mo kio industrial park 3 6017
98695;22266;ang mo kio industrial park 3 6018
98696;22447;ang mo kio industrial park 3 6019
98697;22266;ang mo kio industrial park 3 6020
98698;22266;ang mo kio industrial park 3 6021
98699;22447;ang mo kio industrial park 3 6022
98700;22266;ang mo kio industrial park 3 6024
98701;22266;li hwan terrace 28
98702;22266;lorong kismis 124
98703;22266;loyang rise 105
98704;22266;mei hwan crescent 5
98705;22266;st. nicholas view 103
98706;22266;sungei kadut street 4 122
98707;22266;yio chu kang gardens 33
98708;22266;yio chu kang gardens 6
98709;22267;ang mo kio avenue 4 156
98710;22268;loyang drive 31
98711;22269;hougang street 61 697
98712;22270;pasir ris street 71 771
98713;22271;serangoon north avenue 5 19a
98714;22272;serangoon north avenue 5 1
98715;22272;serangoon north avenue 5 7
98716;22272;serangoon north avenue 5 9
